Date,Open,High,Low,Close,Volume
1/1/2015 15:30:00,646,647,640.8,642.1,75642
1/2/2015 15:30:00,644,648.53,643,644.28,86014
1/5/2015 15:30:00,644.28,644.28,628.2,629.68,293765
1/6/2015 15:30:00,626,626,611,613.11,391335
1/7/2015 15:30:00,615.02,615.61,602,607.84,319437
1/8/2015 15:30:00,612,618.81,608.2,613.26,278836
1/9/2015 15:30:00,619,634,618.24,632.76,593638
1/12/2015 15:30:00,630.6,642.8,625.33,641.45,334222
1/13/2015 15:30:00,642,647.6,638,644.67,490674
1/14/2015 15:30:00,641,644.64,638.2,641.65,331309
1/15/2015 15:30:00,645.32,650.79,640.79,648.11,443672
1/16/2015 15:30:00,648.4,659,646.25,657.16,422004
1/19/2015 15:30:00,656,666,653.94,664.78,248669
1/20/2015 15:30:00,668.4,668.4,658.47,661.24,297710
1/21/2015 15:30:00,655.5,669.78,650.4,667.17,431156
1/22/2015 15:30:00,666.02,673,666.02,672.25,245798
1/23/2015 15:30:00,677.95,677.95,667,669.92,441479
1/27/2015 15:30:00,664.97,664.97,639.07,642.48,412304
1/28/2015 15:30:00,644,649,634.42,647.81,249711
1/29/2015 15:30:00,646.8,676,642.07,672.66,1401638
1/30/2015 15:30:00,674,674.57,640.2,646.65,632758
2/2/2015 15:30:00,635.95,636.8,627.02,627.82,386253
2/3/2015 15:30:00,620.4,623.8,614.98,617.43,522573
2/4/2015 15:30:00,621,625.25,617,619.38,214845
2/5/2015 15:30:00,617.6,619,612.24,614.41,422142
2/6/2015 15:30:00,615,623.4,606,608.86,244496
2/9/2015 15:30:00,606.6,622.59,601.4,619.82,352149
2/10/2015 15:30:00,622.21,629.1,615,626.1,338985
2/11/2015 15:30:00,628.06,636.18,624.79,630.48,232891
2/12/2015 15:30:00,639,668.63,638.47,666.24,457240
2/13/2015 15:30:00,672,673.8,664.2,668.79,211055
2/16/2015 15:30:00,670.4,680.56,667.63,670.25,149937
2/18/2015 15:30:00,663.4,675.2,662.42,670.85,209696
2/19/2015 15:30:00,669.41,679.35,662.54,676.58,171684
2/20/2015 15:30:00,679.6,684.99,674.2,680.78,151478
2/23/2015 15:30:00,680.44,684.8,672.52,677.96,415998
2/24/2015 15:30:00,675,682,668.08,671.95,216410
2/25/2015 15:30:00,675,677.01,653,655.87,405564
2/26/2015 15:30:00,650.6,656.6,645.4,650.44,497009
2/27/2015 15:30:00,649.8,659.8,640.2,655.61,433848
3/2/2015 15:30:00,672.6,683.98,666.42,677.33,272219
3/3/2015 15:30:00,681.8,696.56,672.63,681.58,399929
3/4/2015 15:30:00,681.58,693.6,674.12,678.09,290728
3/5/2015 15:30:00,677.62,689.98,677.62,688.3,280898
3/9/2015 15:30:00,690.38,703.4,690.38,693.51,234118
3/10/2015 15:30:00,696,696,682.15,687.46,222064
3/11/2015 15:30:00,691.77,706.39,673.61,693.6,309701
3/12/2015 15:30:00,694,701,683.04,686.56,368268
3/13/2015 15:30:00,691.8,692.82,671.7,675.31,194107
3/16/2015 15:30:00,678,679.72,660.03,662.6,217805
3/17/2015 15:30:00,672,690.55,670.2,687.49,354407
3/18/2015 15:30:00,688.98,690.79,680,685.41,170461
3/19/2015 15:30:00,694,696,682.21,684.94,277953
3/20/2015 15:30:00,687.64,693,674.3,685.32,307930
3/23/2015 15:30:00,686,693.97,685.7,691.73,189693
3/24/2015 15:30:00,699.8,705,692.6,702.29,522455
3/25/2015 15:30:00,705,715,700.8,702.12,393983
3/26/2015 15:30:00,694,698.41,670.3,689.14,537319
3/27/2015 15:30:00,686.98,686.98,672.04,683.08,243912
3/30/2015 15:30:00,691.56,691.56,674.6,685.06,281925
3/31/2015 15:30:00,690.8,703,690.8,697.75,280091
4/1/2015 15:30:00,708.2,713.36,700.34,706.73,282785
4/6/2015 15:30:00,706,738.9,705.8,735.57,436764
4/7/2015 15:30:00,733.6,740.99,729.04,736.97,232946
4/8/2015 15:30:00,735,755.06,732.43,751.09,443971
4/9/2015 15:30:00,751.01,752.8,735.8,748.05,309859
4/10/2015 15:30:00,749.2,761.56,741.27,759.48,215427
4/13/2015 15:30:00,756,761.54,746.3,759.07,263460
4/15/2015 15:30:00,756,760,746.33,750.72,293648
4/16/2015 15:30:00,746,748.25,732.64,736.06,233587
4/17/2015 15:30:00,733.08,740,724,729.43,258444
4/20/2015 15:30:00,730,743.19,708.04,713.4,302996
