Date,Open,High,Low,Close,Volume
1/1/2015 15:30:00,492.24,495.5,489.23,493.6,500691
1/2/2015 15:30:00,493,504.76,493,503.3,1694580
1/5/2015 15:30:00,502.48,507.5,494.38,498.98,2484256
1/6/2015 15:30:00,495,496.25,483.53,488.55,2416829
1/7/2015 15:30:00,491.25,493.69,487.5,490.89,1812479
1/8/2015 15:30:00,496.4,499.25,487.5,493.36,3391230
1/9/2015 15:30:00,495.03,527.25,478.26,518.61,11215832
1/12/2015 15:30:00,523,529.8,518.75,528.99,3189722
1/13/2015 15:30:00,526.95,526.95,518.75,522.23,2200309
1/14/2015 15:30:00,524.63,533.25,523.15,532.16,2480315
1/15/2015 15:30:00,533.8,538.2,528.06,533.56,2085613
1/16/2015 15:30:00,537,540,528,529.58,1672740
1/19/2015 15:30:00,530,533.09,523.65,525.63,1021936
1/20/2015 15:30:00,526.75,533.25,525.36,531.05,1701126
1/21/2015 15:30:00,532.88,543.99,529.5,542.48,2123727
1/22/2015 15:30:00,543.7,550.75,540.33,549.11,2489599
1/23/2015 15:30:00,550,556.25,541.28,553.76,2371582
1/27/2015 15:30:00,555.25,555.25,532.53,534.13,3434992
1/28/2015 15:30:00,537.5,538.7,532.58,536.14,3283589
1/29/2015 15:30:00,536.25,537.48,531.9,536.38,3842356
1/30/2015 15:30:00,540.38,540.64,531.74,535.48,2708436
2/2/2015 15:30:00,535.38,538,531.51,534.21,2175635
2/3/2015 15:30:00,534.21,534.99,525.5,530.23,1316489
2/4/2015 15:30:00,534.98,537.5,531.6,535.71,1290004
2/5/2015 15:30:00,537.7,555,537,548.45,2968984
2/6/2015 15:30:00,551.25,561.95,547.13,557.63,1863432
2/9/2015 15:30:00,550,563.5,550,562.23,1634217
2/10/2015 15:30:00,560.75,574.5,560.25,569.58,2129230
2/11/2015 15:30:00,570.13,573.3,564.06,571.21,1449243
2/12/2015 15:30:00,570.75,580.49,568.25,577.8,1571884
2/13/2015 15:30:00,574.9,581.67,571.5,574.03,1414379
2/16/2015 15:30:00,570.08,576.73,566.31,569.69,1561069
2/18/2015 15:30:00,572.64,576.24,564.54,574.13,2153441
2/19/2015 15:30:00,573.5,583.5,573.01,581.17,2418406
2/20/2015 15:30:00,582.13,584,569.23,570.78,1742907
2/23/2015 15:30:00,575,577.3,562.03,566.4,1272622
2/24/2015 15:30:00,569.75,573.99,564.4,568.2,1609419
2/25/2015 15:30:00,572.23,583.7,570,579.4,1511243
2/26/2015 15:30:00,576.88,577.25,561.35,564.53,1611444
2/27/2015 15:30:00,568.73,570.16,562.88,566.44,1950269
3/2/2015 15:30:00,575.75,577.13,569.51,572.92,1760248
3/3/2015 15:30:00,572.5,575.74,569.58,574.46,1226388
3/4/2015 15:30:00,575,578.48,562.98,568.66,1093807
3/5/2015 15:30:00,566.76,574.69,558.34,561.9,1421229
3/9/2015 15:30:00,564.75,564.75,544.75,547.51,1996180
3/10/2015 15:30:00,549.53,551.74,540.05,549.5,1582479
3/11/2015 15:30:00,548.53,560,542.28,545.55,1695228
3/12/2015 15:30:00,544.75,556.61,544.25,554.58,1422141
3/13/2015 15:30:00,556.25,557.5,548.1,555.1,1544921
3/16/2015 15:30:00,552.64,570.5,552.64,566.66,1704658
3/17/2015 15:30:00,566.66,569.88,554.31,560.13,1384828
3/18/2015 15:30:00,563.63,565.71,555.64,557.38,1226391
3/19/2015 15:30:00,558.65,562.25,555.69,557.61,1722935
3/20/2015 15:30:00,560.25,567.23,558.24,564.36,1607724
3/23/2015 15:30:00,563.25,568.75,556.38,558.36,1269675
3/24/2015 15:30:00,558.73,563.35,551.5,552.86,1684133
3/25/2015 15:30:00,555.73,557.29,550.19,554.78,1542742
3/26/2015 15:30:00,552,553.73,533,536.59,3935210
3/27/2015 15:30:00,541,556.17,540.75,550.54,2518555
3/30/2015 15:30:00,551.4,560,548.73,557,1155772
3/31/2015 15:30:00,561.25,568.41,551.09,554.59,2004103
4/1/2015 15:30:00,549.73,549.88,539.42,543.49,1684622
4/6/2015 15:30:00,544.75,546.17,540.1,544.55,1935438
4/7/2015 15:30:00,543.75,545.7,534.5,539.88,2135567
4/8/2015 15:30:00,545.63,551.23,543.26,550.14,2546394
4/9/2015 15:30:00,552.85,554.73,546.1,553.75,2645387
4/10/2015 15:30:00,552.55,559.5,552.55,558.49,1780944
4/13/2015 15:30:00,559.5,561,554.03,559.7,1218084
4/15/2015 15:30:00,559.13,561.25,548.76,553.42,1559446
4/16/2015 15:30:00,555.5,557.75,540.13,548.66,2251953
4/17/2015 15:30:00,545.01,548.74,538.36,544.81,1612579
