Date,Open,High,Low,Close,Volume
1/1/2015 15:30:00,319.25,320,315,315.9,3025
1/2/2015 15:30:00,312.8,318.33,312.8,316.58,6843
1/5/2015 15:30:00,318.5,318.5,314.5,316.75,10690
1/6/2015 15:30:00,314.8,315.65,311,312.34,13159
1/7/2015 15:30:00,313.25,315.45,312.38,313.65,35673
1/8/2015 15:30:00,313.75,317.25,313.75,315.02,7524
1/9/2015 15:30:00,318.5,324,313.68,319.32,20492
1/12/2015 15:30:00,321,326,319.27,323.14,47557
1/13/2015 15:30:00,323.5,337.05,323.5,335.73,55108
1/14/2015 15:30:00,336.75,346.5,334.25,339.09,37403
1/15/2015 15:30:00,343.46,347,338.05,340.46,59753
1/16/2015 15:30:00,338.1,350.25,337,349.26,49852
1/19/2015 15:30:00,350.25,355,349.23,353.7,35414
1/20/2015 15:30:00,353.65,355.5,350,353.73,28431
1/21/2015 15:30:00,354.39,356,351.91,354,31104
1/22/2015 15:30:00,353.75,358.5,352.6,354.85,54149
1/23/2015 15:30:00,357.4,364.5,357.4,362.92,45866
1/27/2015 15:30:00,362.92,371.5,362.8,367.5,45350
1/28/2015 15:30:00,367.25,371.05,360.75,365.2,23762
1/29/2015 15:30:00,365,368.25,357.4,360.72,22040
1/30/2015 15:30:00,361,361,355,355.65,30387
2/2/2015 15:30:00,355.69,358.08,348.82,352.98,24716
2/3/2015 15:30:00,355.55,359.5,347.5,353.93,18909
2/4/2015 15:30:00,353.9,356.96,347.8,348.89,6588
2/5/2015 15:30:00,352.5,352.5,340.5,344.96,17043
2/6/2015 15:30:00,345,348.5,342.5,344.23,8881
2/9/2015 15:30:00,344.5,346.5,338,341.77,15551
2/10/2015 15:30:00,345,350.9,338.35,339.71,15902
2/11/2015 15:30:00,344.95,350,340.25,344.05,13708
2/12/2015 15:30:00,344.25,348.5,339.02,341.23,12887
2/13/2015 15:30:00,342,354.89,341.5,351.68,28685
2/16/2015 15:30:00,361.3,363.6,355.12,357.37,23895
2/18/2015 15:30:00,357.5,361.25,353,358.47,32189
2/19/2015 15:30:00,358.75,358.75,350.69,352.09,11509
2/20/2015 15:30:00,352.55,361.89,351.25,358.84,134761
2/23/2015 15:30:00,360.26,360.26,348.13,349.97,29209
2/24/2015 15:30:00,350.1,353.99,346.5,350.49,58297
2/25/2015 15:30:00,351.21,353.75,350.5,352.63,42946
2/26/2015 15:30:00,354.99,354.99,347.5,350.97,25702
2/27/2015 15:30:00,352.23,352.95,349.98,351.05,65642
3/2/2015 15:30:00,352.5,352.5,347.5,349.5,26080
3/3/2015 15:30:00,352,358.03,346.62,354.81,26243
3/4/2015 15:30:00,358.2,365.95,355.65,364.99,45281
3/5/2015 15:30:00,365,368.32,362.32,364.8,30384
3/9/2015 15:30:00,364.85,371.25,361.75,369.22,21576
3/10/2015 15:30:00,369.35,375.25,367.47,369.86,18258
3/11/2015 15:30:00,369.48,372.29,362.65,364.04,19345
3/12/2015 15:30:00,365.01,369,365.01,366.45,13701
3/13/2015 15:30:00,367.77,367.89,362.7,364.95,21515
3/16/2015 15:30:00,367.4,367.4,362.75,363.84,12723
3/17/2015 15:30:00,365,370,365,369.46,27094
3/18/2015 15:30:00,370.5,371,368.3,370.42,49611
3/19/2015 15:30:00,371,371,366.05,368.37,27013
3/20/2015 15:30:00,370,370,361.25,363.21,27446
3/23/2015 15:30:00,364.2,364.22,354.5,356.7,23625
3/24/2015 15:30:00,359.25,359.5,349.5,351.08,26775
3/25/2015 15:30:00,348.6,354.75,348.6,352.09,27132
3/26/2015 15:30:00,351,351.55,338.25,342.26,42361
3/27/2015 15:30:00,344.9,345.85,338.55,340.75,26243
3/30/2015 15:30:00,342,349.95,342,347.2,45193
3/31/2015 15:30:00,347.5,356.6,341.38,347.37,64200
4/1/2015 15:30:00,352.55,353,343.5,346.16,13749
4/6/2015 15:30:00,349.45,357.5,346.32,356.07,24913
4/7/2015 15:30:00,356.07,358.75,353.21,357.87,17718
4/8/2015 15:30:00,357.3,358.41,350.5,352.31,12695
4/9/2015 15:30:00,353,355.6,353,355.05,30467
4/10/2015 15:30:00,356.1,356.99,353.25,354.93,44957
4/13/2015 15:30:00,356,356,353.31,354.93,29502
4/15/2015 15:30:00,355.05,355.47,351.25,353.42,23427
4/16/2015 15:30:00,353.42,354.75,349.5,351.34,26406
4/17/2015 15:30:00,351.21,352.65,349.5,350.04,14346
4/20/2015 15:30:00,350.05,350.5,345,347.66,15258
4/21/2015 15:30:00,349.99,349.99,343.25,344.39,11133
4/22/2015 15:30:00,344.35,347,341.27,343.6,17374
4/23/2015 15:30:00,346.7,346.7,343.3,345.44,35827
4/24/2015 15:30:00,347.5,347.5,339.01,342.49,10639
4/27/2015 15:30:00,342.45,343.4,338.05,342.41,34239
4/28/2015 15:30:00,342,342.5,339.77,341.84,25326
4/29/2015 15:30:00,344,344,326.25,328.27,41655
4/30/2015 15:30:00,328.26,335.5,326.3,328.63,42919
5/4/2015 15:30:00,333,340.5,331.17,340.07,16941
5/5/2015 15:30:00,340.45,341.75,338.6,340.37,14582
5/6/2015 15:30:00,340.47,341,337.81,340.14,17433
5/7/2015 15:30:00,342.5,342.5,336.25,338.38,28509
