Date,Open,High,Low,Close,Volume
1/1/2015 15:30:00,226.83,229.83,226.73,229.37,1232882
1/2/2015 15:30:00,229.4,235,229.4,232.8,2490979
1/5/2015 15:30:00,231.33,238.67,230.67,235.43,4049746
1/6/2015 15:30:00,232.37,232.63,220.4,222.1,6016665
1/7/2015 15:30:00,222,227.7,218.73,225.37,5958447
1/8/2015 15:30:00,228.63,229.23,223.67,227.87,4385954
1/9/2015 15:30:00,231.4,237.93,224.27,234,8815843
1/12/2015 15:30:00,234.7,234.93,229.63,231.8,2105033
1/13/2015 15:30:00,232,232.4,225.53,226.63,4930014
1/14/2015 15:30:00,226.67,230.67,226,229.37,4469815
1/15/2015 15:30:00,232.67,235.33,228.43,231,7158658
1/16/2015 15:30:00,230,234.67,228.9,231.4,2856616
1/19/2015 15:30:00,232.73,235.33,230.53,231.67,2033127
1/20/2015 15:30:00,234.33,234.33,231.53,233.53,3228047
1/21/2015 15:30:00,233.43,233.67,229.4,230.7,5908766
1/22/2015 15:30:00,231.33,236.57,230.5,235.27,5374509
1/23/2015 15:30:00,236.67,237.33,231.7,232.53,4282933
1/27/2015 15:30:00,233.33,234.4,230.7,233.5,3126582
1/28/2015 15:30:00,233.33,237.67,232.37,235.93,4691651
1/29/2015 15:30:00,234.67,237,231.67,234.6,7034153
1/30/2015 15:30:00,234.6,236.97,232.03,234.23,4108295
2/2/2015 15:30:00,236.67,238.53,232.4,233.23,2478348
2/3/2015 15:30:00,235.07,240.67,234.67,239.63,5078611
2/4/2015 15:30:00,244.1,249.2,241.4,245.7,8264203
2/5/2015 15:30:00,245.4,245.67,236.03,237.77,2635861
2/6/2015 15:30:00,240,240.83,231.8,234,3889739
2/9/2015 15:30:00,232.73,238.57,232.73,237.57,2697234
2/10/2015 15:30:00,236.67,239.4,234,236.43,2292260
2/11/2015 15:30:00,236.67,237.6,229.33,229.97,2503286
2/12/2015 15:30:00,230.67,233.73,226.23,230.97,4345518
2/13/2015 15:30:00,226.37,229.27,225.5,226.37,6089865
2/16/2015 15:30:00,225,229.8,224.67,226.97,3808761
2/18/2015 15:30:00,227.57,229.27,221.33,221.73,5165029
2/19/2015 15:30:00,222.67,223.97,220.4,222.3,3595968
2/20/2015 15:30:00,222.93,223.93,220,220.47,3176119
2/23/2015 15:30:00,221.13,222.37,215.8,216.57,3111810
2/24/2015 15:30:00,217.4,217.87,208.43,210.03,7596275
2/25/2015 15:30:00,211.87,215.57,210.1,211.43,5165018
2/26/2015 15:30:00,213.33,214.8,210.37,212.9,5553374
2/27/2015 15:30:00,212.67,217.33,212.67,216.5,6949416
3/2/2015 15:30:00,219.2,219.73,211.6,213.37,6100603
3/3/2015 15:30:00,213.37,217.33,211.33,213.67,6251517
3/4/2015 15:30:00,214.97,217.83,212.53,213.7,8262246
3/5/2015 15:30:00,214.03,214.3,211.6,213.3,3540831
3/9/2015 15:30:00,211.9,212.33,209.4,210.67,5596361
3/10/2015 15:30:00,212,212.63,205.43,209.6,7231231
3/11/2015 15:30:00,210,211.27,206,206.33,5058223
3/12/2015 15:30:00,207.33,209.3,205.93,208.13,3663263
3/13/2015 15:30:00,208.73,211.2,207.53,209.27,3705620
3/16/2015 15:30:00,209.23,209.73,207.4,208,2471402
3/17/2015 15:30:00,208.07,210.33,206.7,209.47,2533222
3/18/2015 15:30:00,210,210.3,205.33,206.13,3234687
3/19/2015 15:30:00,206.6,209.27,206.13,207.93,3578353
3/20/2015 15:30:00,208.13,208.67,205.6,207.57,3195868
3/23/2015 15:30:00,207.33,210.23,207.23,209.6,3059875
3/24/2015 15:30:00,207.07,210,206,208.93,2509703
3/25/2015 15:30:00,210.43,210.97,205.8,206.43,2759737
3/26/2015 15:30:00,207.33,207.6,199.2,201.07,7905361
3/27/2015 15:30:00,201.97,205.57,200.93,203.3,3927963
3/30/2015 15:30:00,203.33,211.6,202.57,210.13,4401179
3/31/2015 15:30:00,210.63,213.07,203,204.23,4568895
4/1/2015 15:30:00,204.67,206.17,203.67,204.3,2214377
4/6/2015 15:30:00,205.4,212.17,205.33,211.5,3704302
4/7/2015 15:30:00,213.33,213.67,210,212.67,2327210
4/8/2015 15:30:00,212.67,212.67,207.93,208.67,3984166
4/9/2015 15:30:00,209.67,210.53,205.67,206.77,3808846
4/10/2015 15:30:00,206.8,210.53,206.1,206.5,5795596
4/13/2015 15:30:00,209,209,206.73,207.9,1864743
4/15/2015 15:30:00,208.53,215.13,207.67,211.43,6055826
4/16/2015 15:30:00,212.4,219.17,212.33,218.43,6557857
4/17/2015 15:30:00,219.67,221.9,218.67,220,4267914
4/20/2015 15:30:00,219.9,221.93,210.8,214.53,3024135
4/21/2015 15:30:00,215.07,218.27,212.2,213.57,3215069
4/22/2015 15:30:00,214.03,215.9,206.37,208.2,4904431
4/23/2015 15:30:00,210,210.27,204.53,205.3,3466034
4/24/2015 15:30:00,206.67,212.6,205.1,211.23,4934294
4/27/2015 15:30:00,211.97,211.97,205.4,206.23,2206248
4/28/2015 15:30:00,206,209.07,202.7,205.03,3347533
4/29/2015 15:30:00,205.03,206.37,202.73,204.2,2963827
4/30/2015 15:30:00,204.57,205.87,202.07,202.67,6466227
5/4/2015 15:30:00,204.07,220.33,204.07,218.9,11248739
5/5/2015 15:30:00,220.67,228.8,219,228.1,16353635
5/6/2015 15:30:00,226.4,227.2,216.73,218.6,6867376
5/7/2015 15:30:00,220,220.87,211,213.37,3895409
5/8/2015 15:30:00,213.97,216.27,209.23,210.33,4286108
5/11/2015 15:30:00,211.27,213.87,210.03,212.67,3621037
5/12/2015 15:30:00,213.4,213.63,204.8,206.43,2976367
5/13/2015 15:30:00,208.1,211.8,205.67,207.4,3764563
5/14/2015 15:30:00,208.07,211.33,206.1,210.77,2838035
5/15/2015 15:30:00,210.6,213.13,208.33,212.6,2216765
5/18/2015 15:30:00,213.53,216.4,213.1,214.5,3057345
5/19/2015 15:30:00,212.9,214.2,210.37,211.73,2911288
5/20/2015 15:30:00,211.33,212.83,209.33,209.7,2039694
5/21/2015 15:30:00,210.93,212.63,209.6,212.2,2092915
5/22/2015 15:30:00,215.67,216.67,212.8,215.37,2595548
5/25/2015 15:30:00,216,220.5,215.47,219.7,3716002
5/26/2015 15:30:00,220,220.57,214.33,215,1986630
5/27/2015 15:30:00,216,222.23,213.77,221.33,2318614
5/28/2015 15:30:00,223.33,224.8,216.2,218.6,5674791
5/29/2015 15:30:00,212,221.2,208.8,219.9,8682428
6/1/2015 15:30:00,219.33,219.93,214.93,216.07,1926340
6/2/2015 15:30:00,219.17,219.17,212.2,213.53,3007634
6/3/2015 15:30:00,213.53,215.53,204.33,205.23,3432686
6/4/2015 15:30:00,206.53,206.53,200.17,200.9,4806939
6/5/2015 15:30:00,201.63,208.3,198.2,205.47,5541035
6/8/2015 15:30:00,206.67,206.67,203.4,204.27,2283263
6/9/2015 15:30:00,203.4,204.53,200.23,200.97,2105835
6/10/2015 15:30:00,201.33,205.33,201.33,203.57,3006533
6/11/2015 15:30:00,204.07,205.63,200.27,200.67,2665239
6/12/2015 15:30:00,200.67,201.97,199.67,200.27,1949630
6/15/2015 15:30:00,200.67,204.6,199.03,202.63,2807841
6/16/2015 15:30:00,202.63,203.53,200,202.97,2585655
6/17/2015 15:30:00,203.33,204.83,202.23,204,4916490
6/18/2015 15:30:00,204.27,210.13,203.5,208.57,4045170
6/19/2015 15:30:00,209.83,214,209.4,212.77,3882654
6/22/2015 15:30:00,213.33,213.33,209.33,212.27,2965469
6/23/2015 15:30:00,212.67,215.6,211.87,212.6,2339687
6/24/2015 15:30:00,213.3,215.33,210.77,211.93,2489677
6/25/2015 15:30:00,211.13,213.53,207.8,208.63,4804954
6/26/2015 15:30:00,208.67,210.33,207.07,208.8,1214138
6/29/2015 15:30:00,206.07,207.2,204,206.03,1507488
6/30/2015 15:30:00,205.47,207.57,205,206.4,2150596
7/1/2015 15:30:00,206,211.4,205.8,209.27,2887850
7/2/2015 15:30:00,209.33,210.07,206.3,206.67,2209470
7/3/2015 15:30:00,208,208.53,205.57,206.13,3301718
7/6/2015 15:30:00,203.7,206,202.8,205.5,2109832
7/7/2015 15:30:00,205.67,206.03,203.07,203.3,2401497
