Date,Open,High,Low,Close,Volume
1/1/2015 15:30:00,312.45,315,310.7,314,6138488
1/2/2015 15:30:00,314.35,318.3,314.35,315.25,9935094
1/5/2015 15:30:00,316.25,316.8,312.1,312.75,9136716
1/6/2015 15:30:00,310,311.1,298.7,299.9,15329257
1/7/2015 15:30:00,300,302.55,295.15,300.15,15046745
1/8/2015 15:30:00,305,306.5,302.35,304.85,8939749
1/9/2015 15:30:00,306.7,307.85,302,303.2,11953948
1/12/2015 15:30:00,304.15,307.8,301.1,307.1,8536142
1/13/2015 15:30:00,308.15,310.75,304.15,305.1,9484804
1/14/2015 15:30:00,304,307,302.25,304.7,8855660
1/15/2015 15:30:00,319.9,323.7,314,320.3,30729523
1/16/2015 15:30:00,320,320.3,313.1,315.45,21598514
1/19/2015 15:30:00,316.55,317.95,312.5,313.15,9975658
1/20/2015 15:30:00,314,319.8,314,318.15,13104643
1/21/2015 15:30:00,319.9,327.6,319,326.2,22617660
1/22/2015 15:30:00,326.9,327.6,321.8,324.65,12232626
1/23/2015 15:30:00,328.25,332.55,324.65,327.45,17127278
1/27/2015 15:30:00,329.4,332.15,322.6,330.05,13734088
1/28/2015 15:30:00,330.4,336,328.2,334.6,19428852
1/29/2015 15:30:00,332.8,333.6,325.1,327,14911660
1/30/2015 15:30:00,328.7,330.5,307,308.95,30252827
2/2/2015 15:30:00,309.5,311.9,305.1,307.5,17639807
2/3/2015 15:30:00,312,312,299.05,300.3,23743882
2/4/2015 15:30:00,302.7,302.95,291.9,293.05,21477507
2/5/2015 15:30:00,293.15,297.8,289.2,290.8,15722348
2/6/2015 15:30:00,291,294.85,285.7,290.3,15985714
2/9/2015 15:30:00,289.5,292.8,278,279.5,17088719
2/10/2015 15:30:00,277.5,290.8,275.7,287.3,22589681
2/11/2015 15:30:00,290.8,293.5,283.7,285.95,17366588
2/12/2015 15:30:00,288.9,289,278.3,284.3,20957180
2/13/2015 15:30:00,288,307.95,285.35,306.95,70540056
2/16/2015 15:30:00,310.6,313.15,304.7,306.7,21372131
2/18/2015 15:30:00,306.8,307.9,302,305.7,13472484
2/19/2015 15:30:00,306.1,307.3,296.8,302.35,17762135
2/20/2015 15:30:00,301.9,306.5,297.05,302.3,15792502
2/23/2015 15:30:00,303.2,304.6,294.4,296.55,12440505
2/24/2015 15:30:00,296.9,299,292.1,296.25,15046698
2/25/2015 15:30:00,299,300.65,295,295.55,12845169
2/26/2015 15:30:00,297,297,288.05,289.4,18707345
2/27/2015 15:30:00,291.25,301,290.1,299.9,18316053
3/2/2015 15:30:00,305.9,305.9,296.7,302,15085595
3/3/2015 15:30:00,303.5,305.4,299.7,302.6,14387971
3/4/2015 15:30:00,314,315,292,293.85,38674148
3/5/2015 15:30:00,294.75,296.25,289.75,293.8,16803823
3/9/2015 15:30:00,292,294,288.7,290.65,13199803
3/10/2015 15:30:00,290.75,293.25,285.1,287.6,14064427
3/11/2015 15:30:00,288.55,290.9,283.75,285.15,16329314
3/12/2015 15:30:00,288.15,289.45,286.1,286.85,9969794
3/13/2015 15:30:00,290,291.05,280,280.75,13414248
3/16/2015 15:30:00,281.5,283.85,280,281.65,15132928
3/17/2015 15:30:00,283.9,284,279.5,283.1,11350496
3/18/2015 15:30:00,284.1,288.45,282,287.3,12394230
3/19/2015 15:30:00,290,290.3,280.6,281.6,11046649
3/20/2015 15:30:00,281.8,282.4,276.8,278.25,11482652
3/23/2015 15:30:00,279.4,280,273.55,274.75,13058026
3/24/2015 15:30:00,273.8,276.4,269,270.55,17585259
3/25/2015 15:30:00,271.9,272.1,265,265.4,15824629
3/26/2015 15:30:00,264.5,265.9,255.2,256.65,22253318
3/27/2015 15:30:00,259.85,264.95,256,263.6,19423101
3/30/2015 15:30:00,265.1,269.35,263.15,267.9,12303870
3/31/2015 15:30:00,268.9,271.35,266,267.05,19482636
4/1/2015 15:30:00,266.65,274.65,263.15,273.45,12383589
4/6/2015 15:30:00,275.45,275.75,271.2,274.65,12925445
4/7/2015 15:30:00,275.3,276.35,270.3,272.05,12933524
4/8/2015 15:30:00,271.9,277.35,271.85,273.9,9913899
4/9/2015 15:30:00,275,281.8,272.5,280.85,13471276
4/10/2015 15:30:00,281,287.35,280.05,285.75,16880558
4/13/2015 15:30:00,287.8,288.5,283.35,286.3,11985436
4/15/2015 15:30:00,287.4,294.45,285.95,290,17289500
4/16/2015 15:30:00,290.25,294.25,286.5,292.4,15043998
4/17/2015 15:30:00,291,294.9,289.2,291.75,16819018
4/20/2015 15:30:00,291,293.35,284.85,287.65,13788536
4/21/2015 15:30:00,287.4,292,281.75,289.2,15487948
4/22/2015 15:30:00,290.55,293.25,275.4,283.85,17741741
4/23/2015 15:30:00,285,287.4,276.25,277.65,13874710
4/24/2015 15:30:00,278.35,279.6,274.35,275.55,10049508
4/27/2015 15:30:00,276.55,276.55,266.1,267.05,12394191
4/28/2015 15:30:00,267,273.5,265.15,272.5,12693457
4/29/2015 15:30:00,272.25,273.4,269.55,271.9,8217676
4/30/2015 15:30:00,270.1,273.45,266.7,269.75,21635216
5/4/2015 15:30:00,274,278,271.65,277.15,8012690
5/5/2015 15:30:00,277,277,271.35,272.05,7102772
5/6/2015 15:30:00,271.45,273.6,263.25,265.4,16335660
5/7/2015 15:30:00,264,267.25,259.65,260.95,15962706
5/8/2015 15:30:00,264,268,260.3,261.95,14044596
5/11/2015 15:30:00,263.4,277.2,262.6,276.05,17198308
5/12/2015 15:30:00,275.3,275.4,266.35,267.4,12792368
5/13/2015 15:30:00,269.9,275,268.05,274.3,9245732
5/14/2015 15:30:00,274,281.9,272.95,280.95,13101418
5/15/2015 15:30:00,282,288.35,282,287.45,18247889
5/18/2015 15:30:00,289.9,290,285.4,289.75,13266119
5/19/2015 15:30:00,289.2,291.35,286.2,288.45,14541041
5/20/2015 15:30:00,289.5,294.8,289.25,292.6,11807544
5/21/2015 15:30:00,294,294.75,288.45,290.25,12118415
5/22/2015 15:30:00,293,305,280.75,282.45,69490117
5/25/2015 15:30:00,280.2,284.3,276.15,277.65,20356833
5/26/2015 15:30:00,279,280.8,276,277.15,9675703
5/27/2015 15:30:00,277,281.6,274.2,280.75,12176680
5/28/2015 15:30:00,279.8,279.8,276.1,277.6,13024987
5/29/2015 15:30:00,278.65,281.65,277.1,278.15,14809918
6/1/2015 15:30:00,278.65,282,277.55,278.2,11567692
6/2/2015 15:30:00,278.8,279.45,265.35,266.25,21653784
6/3/2015 15:30:00,267,267.3,255.05,257.4,25967877
6/4/2015 15:30:00,259.9,261.4,253.75,257.6,20210546
6/5/2015 15:30:00,257,262,255.6,257.8,13539638
