Date,Open,High,Low,Close,Volume
1/1/2015 15:30:00,826.5,830,818.1,822.2,587479
1/2/2015 15:30:00,824,830.5,824,826.25,710310
1/5/2015 15:30:00,826.1,830.7,824.45,826.75,792287
1/6/2015 15:30:00,823,824.6,803.7,808.55,1709888
1/7/2015 15:30:00,809.1,815.2,800,809.8,1730518
1/8/2015 15:30:00,815,821,814.4,818.8,943536
1/9/2015 15:30:00,820,836,820,830.05,1766875
1/12/2015 15:30:00,832.45,837.25,830.1,835.3,1188646
1/13/2015 15:30:00,837.05,843.4,826.15,833.1,838422
1/14/2015 15:30:00,831,837.75,817,820.65,996066
1/15/2015 15:30:00,826,833.9,819.4,825.9,2224116
1/16/2015 15:30:00,828.9,854.4,826.2,849.75,2005202
1/19/2015 15:30:00,855,866.15,853.1,863,1382755
1/20/2015 15:30:00,865,874.5,854.5,872.3,2053198
1/21/2015 15:30:00,875,888,873,885.95,2358508
1/22/2015 15:30:00,885.3,927.35,885.3,920.05,4797782
1/23/2015 15:30:00,921.5,938.7,918,926.8,2835629
1/27/2015 15:30:00,939.9,939.95,901,914,2261868
1/28/2015 15:30:00,915,933.1,892,909.75,1939863
1/29/2015 15:30:00,900,933,891,919.8,2668139
1/30/2015 15:30:00,923.5,927.8,910.5,917.75,1873464
2/2/2015 15:30:00,925,943.55,922,929.1,1750030
2/3/2015 15:30:00,936,947.65,919.05,941.25,2275229
2/4/2015 15:30:00,947.5,965.95,946,958.95,2769365
2/5/2015 15:30:00,960,965.9,951,959.55,1850360
2/6/2015 15:30:00,958.75,962.9,920.25,926.85,3120503
2/9/2015 15:30:00,926.8,948.2,915.85,941.45,1350099
2/10/2015 15:30:00,942,942,911,919.55,1515424
2/11/2015 15:30:00,924.8,937,920.2,925.85,1046438
2/12/2015 15:30:00,929.65,932.2,919,923.6,778562
2/13/2015 15:30:00,928,952,928,940.55,2046667
2/16/2015 15:30:00,918,930.9,907.3,914.75,2869370
2/18/2015 15:30:00,919.9,927.5,911.75,917.8,1309654
2/19/2015 15:30:00,922.7,926.8,909.55,916.7,1190354
2/20/2015 15:30:00,914.8,921.6,910,913.2,1146633
2/23/2015 15:30:00,914,924,904.25,908.65,2440626
2/24/2015 15:30:00,907,913.9,905,910.45,1469026
2/25/2015 15:30:00,913.5,914.65,886.4,890.75,1407691
2/26/2015 15:30:00,890.1,894.25,860.2,865.7,2614022
2/27/2015 15:30:00,870.15,883.9,868.55,878.9,2160310
3/2/2015 15:30:00,912.1,932,909.4,925.2,2019863
3/3/2015 15:30:00,937.45,951.4,933.1,943.05,2114707
3/4/2015 15:30:00,946.9,1035.95,937.8,1006.3,7567230
3/5/2015 15:30:00,1018,1045.95,1005.5,1038.75,3792463
3/9/2015 15:30:00,1024.35,1049.9,1008,1041,3154190
3/10/2015 15:30:00,1046,1055.5,1017.75,1024.65,2094814
3/11/2015 15:30:00,1029.4,1035.4,1007.05,1009.85,1845619
3/12/2015 15:30:00,1012.65,1039.8,1010,1036.15,1990646
3/13/2015 15:30:00,1044.7,1044.7,1006.55,1011.6,1499576
3/16/2015 15:30:00,1014.1,1032.9,1010.15,1029.85,1445672
3/17/2015 15:30:00,1033,1051,1026.15,1041.9,1818956
3/18/2015 15:30:00,1043.4,1048,1031,1044.5,1489193
3/19/2015 15:30:00,1050,1075,1036.2,1047.75,2661474
3/20/2015 15:30:00,1050,1074.5,1021.3,1026.65,2371025
3/23/2015 15:30:00,1036.9,1045.95,1013.4,1024.25,1972135
3/24/2015 15:30:00,1034,1049.8,1030,1037.15,2573597
3/25/2015 15:30:00,1058,1067.8,1042.1,1052.05,4242685
3/26/2015 15:30:00,1052.8,1053,1020,1027.7,2974909
3/27/2015 15:30:00,1036.9,1041.55,1002.1,1011.2,1999967
3/30/2015 15:30:00,1021.15,1025.75,1009,1010.8,1613058
3/31/2015 15:30:00,1015,1033.25,1010.35,1023.9,1939047
4/1/2015 15:30:00,1023.9,1094,1018.95,1081.15,4104961
4/6/2015 15:30:00,1102.7,1181,1090,1169.3,4805720
4/7/2015 15:30:00,1180,1200.8,1135.75,1152.05,3978093
4/8/2015 15:30:00,1161.35,1173.3,1137.05,1150.45,2732857
4/9/2015 15:30:00,1159.9,1162.3,1106,1113.45,3143647
4/10/2015 15:30:00,1113,1128.6,1098.35,1119.75,2880186
4/13/2015 15:30:00,1120.1,1157.9,1112.7,1150.95,2036205
4/15/2015 15:30:00,1161.4,1161.4,1112.35,1117.3,3103257
4/16/2015 15:30:00,1122.2,1127.25,1082.5,1087.95,2725037
4/17/2015 15:30:00,1090,1105.2,1028.75,1037.75,3749872
4/20/2015 15:30:00,1048,1066.9,1037.8,1043.8,2941375
4/21/2015 15:30:00,951,974.25,930,952.2,265709391
4/22/2015 15:30:00,963,978.9,948,967.8,10905987
4/23/2015 15:30:00,980,980.8,936,942,9450660
4/24/2015 15:30:00,946,956,938.25,947.4,10416821
4/27/2015 15:30:00,951.5,957.3,921.85,926.4,7641311
4/28/2015 15:30:00,922,934.2,912.25,924.85,5553353
4/29/2015 15:30:00,934.2,947,929,940.5,7229944
4/30/2015 15:30:00,926,943.9,921,938.85,16367861
5/4/2015 15:30:00,949,957.25,942.05,947.75,7780934
5/5/2015 15:30:00,954.9,960,950.05,958.45,4329997
5/6/2015 15:30:00,957.55,957.7,925,937.15,5151640
5/7/2015 15:30:00,933,936,920.05,927.9,3690081
5/8/2015 15:30:00,933.35,946.25,920.1,940.25,4998817
5/11/2015 15:30:00,950.5,968.45,948.8,964.4,5241168
5/12/2015 15:30:00,962.25,965.4,943,949.65,4197503
5/13/2015 15:30:00,952.9,962.95,942.65,954.05,2584318
5/14/2015 15:30:00,952.8,953.2,939,944.4,2701006
5/15/2015 15:30:00,927.4,952,926.25,946.35,2563043
5/18/2015 15:30:00,947.4,960,943.3,956.95,2137699
5/19/2015 15:30:00,956.95,978.45,947.85,957.05,2047194
5/20/2015 15:30:00,961.4,969.35,956,965.35,2163245
5/21/2015 15:30:00,966.1,986.7,962.1,981.25,4649220
5/22/2015 15:30:00,978,1008.9,976.75,1003.75,4813876
