Date,Open,High,Low,Close,Volume
1/1/2015 15:30:00,1283.5,1283.5,1270.5,1272.78,183415
1/2/2015 15:30:00,1275.5,1295.47,1275.3,1289.72,462870
1/5/2015 15:30:00,1290.5,1299.95,1262.33,1270.13,877121
1/6/2015 15:30:00,1264.55,1264.55,1220,1223.3,1211892
1/7/2015 15:30:00,1235,1239.58,1203.72,1208.85,1318166
1/8/2015 15:30:00,1221.2,1224.5,1210.28,1221.9,782704
1/9/2015 15:30:00,1227.5,1259.95,1225,1256.15,1598821
1/12/2015 15:30:00,1258.5,1264,1240.13,1254.85,798003
1/13/2015 15:30:00,1260,1265.2,1240.05,1248.95,734216
1/14/2015 15:30:00,1258,1265.9,1250.25,1260.97,893548
1/15/2015 15:30:00,1266.5,1290.88,1261.63,1269.55,2504960
1/16/2015 15:30:00,1271.85,1272.5,1242.15,1266.08,2646915
1/19/2015 15:30:00,1268,1275.5,1251.5,1255.5,567537
1/20/2015 15:30:00,1260,1265,1241.63,1250.22,1029283
1/21/2015 15:30:00,1261,1261,1244.13,1256.9,1155240
1/22/2015 15:30:00,1258.25,1260.63,1247.75,1256.78,1056607
1/23/2015 15:30:00,1257,1266.03,1248.05,1251.8,1575190
1/27/2015 15:30:00,1256.18,1257.5,1244.78,1251.03,1369368
1/28/2015 15:30:00,1251.5,1272.45,1251.45,1269.8,1560990
1/29/2015 15:30:00,1269,1284.35,1256.45,1272.33,1867196
1/30/2015 15:30:00,1280.35,1287.5,1235,1241.03,2908701
2/2/2015 15:30:00,1241,1260.72,1231.03,1257.1,1590901
2/3/2015 15:30:00,1255.83,1282.5,1253.55,1279.13,1172527
2/4/2015 15:30:00,1284,1285.85,1251.05,1257.15,1122709
2/5/2015 15:30:00,1260,1295.85,1259.5,1276.2,2265084
2/6/2015 15:30:00,1276.5,1297.4,1275.43,1287.88,1068208
2/9/2015 15:30:00,1280.75,1284.55,1250,1256.45,1038216
2/10/2015 15:30:00,1255,1263.13,1216.5,1220.58,1899527
2/11/2015 15:30:00,1227.53,1243.63,1223.63,1229.95,1468761
2/12/2015 15:30:00,1239.9,1239.9,1223.5,1231.08,1553990
2/13/2015 15:30:00,1235,1273.88,1230.13,1269.38,2079163
2/16/2015 15:30:00,1280,1297.5,1277.5,1292.4,1182196
2/18/2015 15:30:00,1292.53,1321.5,1282.63,1317.83,1330007
2/19/2015 15:30:00,1318,1343.65,1317.5,1340.53,1309001
2/20/2015 15:30:00,1349.4,1349.4,1321.13,1337.78,900794
2/23/2015 15:30:00,1335.5,1361,1335.5,1348.33,807446
2/24/2015 15:30:00,1347,1365,1339.5,1352.38,1099961
2/25/2015 15:30:00,1355,1361,1333.93,1336.1,883997
2/26/2015 15:30:00,1339.5,1346.38,1312.68,1328.23,995997
2/27/2015 15:30:00,1329.73,1337.88,1308.15,1331.18,1438688
3/2/2015 15:30:00,1339.85,1354.48,1326.28,1334.7,1088019
3/3/2015 15:30:00,1341,1395,1338.08,1388,1712154
3/4/2015 15:30:00,1394,1406.05,1357.83,1373,1931497
3/5/2015 15:30:00,1375,1385.35,1340.53,1348.23,1086757
3/9/2015 15:30:00,1320,1339.9,1305,1323.4,1441587
3/10/2015 15:30:00,1324.45,1339.13,1297.63,1321.35,1518526
3/11/2015 15:30:00,1321,1329.98,1298.9,1303.28,1120100
3/12/2015 15:30:00,1311.95,1312.45,1295.05,1309.53,913818
3/13/2015 15:30:00,1319,1319.98,1287.5,1291.18,793419
3/16/2015 15:30:00,1292.6,1305,1276,1281.15,778148
3/17/2015 15:30:00,1291.25,1303.35,1278.88,1291.85,633659
3/18/2015 15:30:00,1295.47,1299.72,1275.85,1279.68,627585
3/19/2015 15:30:00,1288,1302.93,1284.05,1298.13,1224482
3/20/2015 15:30:00,1298,1309,1289.43,1305.47,981954
3/23/2015 15:30:00,1308,1315.5,1303,1308.58,783304
3/24/2015 15:30:00,1315,1318.5,1291.05,1295.65,1197439
3/25/2015 15:30:00,1295.7,1307,1272.6,1286.88,1112429
3/26/2015 15:30:00,1276.65,1293.35,1250.5,1256.55,1545821
3/27/2015 15:30:00,1265.5,1285.95,1252.05,1257.4,1375888
3/30/2015 15:30:00,1262.5,1284.95,1260,1282.08,669503
3/31/2015 15:30:00,1284.72,1284.72,1260.5,1276.97,1213514
4/1/2015 15:30:00,1279,1281.8,1261.13,1271.33,1037879
4/6/2015 15:30:00,1279,1281.45,1250.05,1273.65,784271
4/7/2015 15:30:00,1281.22,1299.5,1272,1292.5,943461
4/8/2015 15:30:00,1297,1328.25,1295.43,1320.7,826067
4/9/2015 15:30:00,1329.5,1343.73,1317.58,1332.28,1272225
4/10/2015 15:30:00,1324.25,1335.4,1314,1326.88,907772
4/13/2015 15:30:00,1332,1332.5,1314,1327.75,654321
4/15/2015 15:30:00,1327.35,1356.95,1304.7,1313.88,1456967
4/16/2015 15:30:00,1313.48,1313.5,1285.68,1291.4,1608785
4/17/2015 15:30:00,1278.55,1280,1235,1237.43,4834371
4/20/2015 15:30:00,1240.03,1241.95,1212.43,1214.4,1445361
4/21/2015 15:30:00,1214.4,1226,1200.5,1213.53,1273016
4/22/2015 15:30:00,1215.75,1236.5,1203.78,1222.55,2093406
4/23/2015 15:30:00,1236,1239.9,1215.85,1228.63,2171495
4/24/2015 15:30:00,1227.65,1257,1223.78,1246.53,1812579
4/27/2015 15:30:00,1249.75,1260,1243,1250.1,1366526
4/28/2015 15:30:00,1255,1255,1227.55,1247.5,1544149
4/29/2015 15:30:00,1242,1247.5,1225.53,1243.65,1009810
4/30/2015 15:30:00,1240,1245,1213.55,1231.85,1869027
5/4/2015 15:30:00,1245.5,1252.4,1228.6,1240.78,945315
5/5/2015 15:30:00,1250.5,1268.22,1250,1258.93,1627535
5/6/2015 15:30:00,1257.5,1257.5,1227.9,1231.53,1697203
5/7/2015 15:30:00,1232.45,1276.88,1226.85,1272.63,1602514
5/8/2015 15:30:00,1280,1294,1258.15,1263.63,1501832
5/11/2015 15:30:00,1267.5,1281.53,1262.5,1278,1286541
5/12/2015 15:30:00,1280,1282.5,1256.5,1261.45,1233693
5/13/2015 15:30:00,1273.5,1273.5,1240.22,1257.7,931887
5/14/2015 15:30:00,1260,1260,1242.5,1249.63,654525
5/15/2015 15:30:00,1257.5,1266.2,1250.5,1255.58,730727
5/18/2015 15:30:00,1257.05,1262.63,1248.55,1260.2,2253876
5/19/2015 15:30:00,1259.7,1265,1248.38,1256.35,978861
5/20/2015 15:30:00,1260,1284.95,1258.45,1278.53,948907
5/21/2015 15:30:00,1278.5,1290,1274.08,1277.75,789789
5/22/2015 15:30:00,1275,1314.38,1269.63,1308.95,1345816
5/25/2015 15:30:00,1310,1318.45,1292.85,1300.5,491489
5/26/2015 15:30:00,1302.5,1311.63,1294.45,1304.43,980870
5/27/2015 15:30:00,1304,1316.58,1296,1307.63,810345
5/28/2015 15:30:00,1301.95,1311.5,1291.13,1304.75,1381804
5/29/2015 15:30:00,1308.5,1324.3,1298.63,1305.15,2211766
6/1/2015 15:30:00,1304.72,1323.55,1304.18,1308.88,441132
6/2/2015 15:30:00,1308,1315,1295.25,1299.95,1967910
6/3/2015 15:30:00,1302,1312.8,1295.25,1305.45,902342
6/4/2015 15:30:00,1308.55,1311.4,1294.25,1302.83,2065734
6/5/2015 15:30:00,1296,1304.5,1285,1287.93,1154267
6/8/2015 15:30:00,1295,1295,1280.83,1288.72,785160
6/9/2015 15:30:00,1292.5,1295,1275.5,1280.83,1289457
6/10/2015 15:30:00,1283,1305,1281.9,1300.38,1381675
6/11/2015 15:30:00,1302.75,1306.5,1278.38,1285.65,923668
6/12/2015 15:30:00,1285.95,1294.47,1238.4,1252.9,1285728
6/15/2015 15:30:00,1252.65,1260.22,1240.5,1252.4,1262588
6/16/2015 15:30:00,1250,1259.65,1247.22,1256,633698
6/17/2015 15:30:00,1260.5,1264.58,1250.9,1256.9,987860
6/18/2015 15:30:00,1257.5,1273.15,1254,1265.03,1082523
6/19/2015 15:30:00,1267.5,1277.5,1263.55,1274.78,999805
6/22/2015 15:30:00,1273.5,1300,1273.5,1295.75,551001
6/23/2015 15:30:00,1300,1304,1283.6,1287.3,449159
6/24/2015 15:30:00,1290,1293.95,1279.43,1285.15,585123
6/25/2015 15:30:00,1281,1286.5,1272.08,1275,965496
6/26/2015 15:30:00,1275.1,1298.18,1275.1,1296.4,645051
6/29/2015 15:30:00,1286,1302,1271.7,1296.45,686378
6/30/2015 15:30:00,1292.5,1294.38,1270,1275.47,774976
7/1/2015 15:30:00,1281.95,1304,1278.38,1296.55,639854
7/2/2015 15:30:00,1300,1301.47,1285.53,1288.88,722940
7/3/2015 15:30:00,1286.53,1305,1285,1301.95,481735
7/6/2015 15:30:00,1290.15,1322.5,1290.15,1316.65,591169
7/7/2015 15:30:00,1316.38,1323.45,1301.5,1308.13,821418
7/8/2015 15:30:00,1298.97,1310.85,1290.25,1297.55,1333925
7/9/2015 15:30:00,1297.5,1299.13,1253.33,1261.25,1967061
7/10/2015 15:30:00,1279.5,1279.5,1227.5,1237.18,4131827
7/13/2015 15:30:00,1237.7,1259.3,1237.7,1254.78,1140154
7/14/2015 15:30:00,1255.5,1257.5,1245,1249.75,851637
7/15/2015 15:30:00,1250.5,1274.97,1250,1272.88,1001830
7/16/2015 15:30:00,1271.85,1279.43,1263.3,1270.1,728304
7/17/2015 15:30:00,1273.4,1285.05,1271.65,1282.2,535263
7/20/2015 15:30:00,1282,1291.95,1275.95,1289.58,426893
7/21/2015 15:30:00,1288,1300.18,1277.55,1280.7,637250
7/22/2015 15:30:00,1280.5,1284.5,1260.53,1264.03,660314
7/23/2015 15:30:00,1258.75,1268.93,1241.5,1244.3,748390
7/24/2015 15:30:00,1248.75,1258.25,1246.05,1252.58,787486
7/27/2015 15:30:00,1244,1252.5,1240.58,1248.53,1001869
